year,cdc_var,cdc_label,cdc_question,tier,notes
2012,IDAY,Interview Day,Interview Day,F_unmatched,F_unmatched undecided - revisit
2012,O_STATE,,Original state that collected the cell phone data,F_unmatched,F_unmatched undecided - revisit
2012,QSTVER,,Questionnaire Version Identifier,F_unmatched,F_unmatched undecided - revisit
2012,VHCOMBAT,,Did you ever serve in a combat or war zone?,F_unmatched,F_unmatched undecided - revisit
2013,IDATE,Interview Date,Interview Date,F_unmatched,F_unmatched undecided - revisit
2013,IDAY,Interview Day,Interview Day,F_unmatched,F_unmatched undecided - revisit
2013,QSTVER,,Questionnaire Version Identifier,F_unmatched,F_unmatched undecided - revisit
2014,IDATE,Interview Date,Interview Date,F_unmatched,F_unmatched undecided - revisit
2014,IDAY,Interview Day,Interview Day,F_unmatched,F_unmatched undecided - revisit
2014,QSTVER,,Questionnaire Version Identifier,F_unmatched,F_unmatched undecided - revisit
2015,IDATE,Interview Date,Interview Date,F_unmatched,F_unmatched undecided - revisit
2015,IDAY,Interview Day,Interview Day,F_unmatched,F_unmatched undecided - revisit
2015,QSTVER,,Questionnaire Version Identifier,F_unmatched,F_unmatched undecided - revisit
2016,ADSLEEP,Days had trouble with sleep,"Over the last 2 weeks, how many days have you had trouble falling asleep or staying asleep or sleeping too",F_unmatched,F_unmatched undecided - revisit
2016,CRACASC1,CRACORG1 with responses in ascending order,CRACORG1 with responses in ascending order,F_unmatched,F_unmatched undecided - revisit
2016,CRACORG1,"RCSRACE1 with 77, 88, 80, 99s removed","RCSRACE1 with 77, 88, 80, 99s removed",F_unmatched,F_unmatched undecided - revisit
2016,REPDEPTH,Replicate Depth,Replicate Depth,F_unmatched,F_unmatched undecided - revisit
2016,SLEPSNO1,Have you ever been told that you snore loudly?,Have you ever been told that you snore loudly? (If the respondent indicates that their spouse or someone,F_unmatched,F_unmatched undecided - revisit
2018,WKDAYOUT,How often outside on weekdays,"On weekdays, in the summer, how long are you outside per day between 10am and 4pm?",F_unmatched,F_unmatched undecided - revisit
2018,WKENDOUT,How often outside on weekends,"On weekends in the summer, how long are you outside each day between 10am and 4pm?",F_unmatched,F_unmatched undecided - revisit
2019,HAVECFS,Still have Chronic Fatigue Syndrome or Myalgic Encephalomyelitis,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,F_unmatched,F_unmatched undecided - revisit
2019,IMFVPLA1,Where did you get your last flu shot/vaccine?,At what kind of place did you get your last flu shot or vaccine?,F_unmatched,F_unmatched undecided - revisit
2019,PCPSADE1,Why was PSA test done?,Which of the following best describes the decision to have the P.S.A. test done?,F_unmatched,F_unmatched undecided - revisit
2019,WKDAYOUT,How often outside on weekdays,"On weekdays, in the summer, how long are you outside per day between 10am and 4pm?",F_unmatched,F_unmatched undecided - revisit
2019,WKENDOUT,How often outside on weekends,"On weekends in the summer, how long are you outside each day between 10am and 4pm?",F_unmatched,F_unmatched undecided - revisit
2020,CELLSEX,Are you male or female?,Are you male or female?,F_unmatched,F_unmatched undecided - revisit
2020,COLGSEX,Are you male or female?,Are you male or female?,F_unmatched,F_unmatched undecided - revisit
2020,HAVECFS,Still have Chronic Fatigue Syndrome or Myalgic Encephalomyelitis,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,F_unmatched,F_unmatched undecided - revisit
2020,IMFVPLA1,Where did you get your last flu shot/vaccine?,At what kind of place did you get your last flu shot or vaccine?,F_unmatched,F_unmatched undecided - revisit
2020,LANDSEX,Are you male or female?,Are you male or female?,F_unmatched,F_unmatched undecided - revisit
2021,CELLSEX,Are you male or female?,Are you male or female?,F_unmatched,F_unmatched undecided - revisit
2021,COLGSEX,Are you male or female?,Are you male or female?,F_unmatched,F_unmatched undecided - revisit
2021,HAVECFS,Still have Chronic Fatigue Syndrome or Myalgic Encephalomyelitis,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,F_unmatched,F_unmatched undecided - revisit
2021,LANDSEX,Are you male or female?,Are you male or female?,F_unmatched,F_unmatched undecided - revisit
2022,HAVECFS,Still have Chronic Fatigue Syndrome or Myalgic Encephalomyelitis,Do you still have Chronic Fatigue Syndrome (CFS) or (Myalgic Encephalomyelitis) ME?,F_unmatched,F_unmatched undecided - revisit
2024,EMTSUPRT,How often get emotional support needed,How often do you get the social and emotional support you need?,F_unmatched,F_unmatched undecided - revisit
