concept_id,year,raw_var_name,source,suggested_source
ACEDEPr,2015,ACEDEPr,core,OR
ACEDIVr,2015,ACEDIVr,core,OR
ACEDRINKr,2015,ACEDRINKr,core,OR
ACEDRUGr,2015,ACEDRUGr,core,OR
ACEFORCEr,2015,ACEFORCEr,core,OR
ACEJAILr,2015,ACEJAILr,core,OR
ACEPHYSr,2015,ACEPHYSr,core,OR
ACESPOUSEr,2015,ACESPOUSEr,core,OR
ACESWEARr,2015,ACESWEARr,core,OR
ACESmissing,2015,ACESmissing,core,OR
ACESmissingANY,2015,ACESmissingANY,core,OR
ACETOUCHTHEMr,2015,ACETOUCHTHEMr,core,OR
ACETOUCHUr,2015,ACETOUCHUr,core,OR
AGEGRP,2014,AGEGRP,core,OR
Black,2012,Black,core,OR
Black,2013,Black,core,OR
Black,2014,Black,core,OR
CLLCPWT_CDC,2013,CLLCPWT_CDC,core,OR
CLLCPWT_CDC,2014,CLLCPWT_CDC,core,OR
CTYCODE1,2016,CTYCODE1,core,OR
CTYCODE2,2018,CTYCODE2,core,OR
CTYCODE2,2019,CTYCODE2,core,OR
CTYCODE2,2020,CTYCODE2,core,OR
HCBARRIER_STATEO,2014,HCBARRIER_STATEO,core,OR
HIVRISK,2013,HIVRISK,core,OR
IMPCTY_CDC,2013,IMPCTY_CDC,core,OR
INDUSTRY_CODE,2013,INDUSTRY_CODE,core,OR
OCCUPATION_CODE,2013,OCCUPATION_CODE,core,OR
Variables in the working file,2021,Variables in the working file,core,OR
Variables in the working file,2022,Variables in the working file,core,OR
Variables in the working file,2023,Variables in the working file,core,OR
Variables in the working file,2024,Variables in the working file,core,OR
XRACETH_EXP,2014,XRACETH_EXP,core,OR
a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,2021,a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,core,OR
a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,2022,a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,core,OR
a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,2023,a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,core,OR
a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,2024,a The number of bytes for at least one missing value exceeds the variable's string length and cannot be displayed.,core,OR
actint1_,2015,actint1_,core,OR
actint2_,2015,actint2_,core,OR
drkge5,2014,drkge5,core,OR
fc60_,2015,fc60_,core,OR
h1,2012,h1,core,OR
h2,2012,h2,core,OR
h3,2012,h3,core,OR
h4,2012,h4,core,OR
h5,2012,h5,core,OR
h6,2012,h6,core,OR
inca30d2,2014,inca30d2,core,OR
injfalli2,2013,injfalli2,core,OR
injfallt2,2013,injfallt2,core,OR
maxvo2_,2015,maxvo2_,core,OR
metval1_,2015,metval1_,core,OR
metval2_,2015,metval2_,core,OR
minact1,2015,minact1,core,OR
minact2,2015,minact2,core,OR
nalcocc2,2014,nalcocc2,core,OR
padur1_,2015,padur1_,core,OR
padur2_,2015,padur2_,core,OR
pafreq1_,2015,pafreq1_,core,OR
pafreq2_,2015,pafreq2_,core,OR
pamin1_,2015,pamin1_,core,OR
pamin2_,2015,pamin2_,core,OR
pamin_,2015,pamin_,core,OR
pamiss_,2015,pamiss_,core,OR
pavigm1_,2015,pavigm1_,core,OR
pavigm2_,2015,pavigm2_,core,OR
pavigmn_,2015,pavigmn_,core,OR
r1,2012,r1,core,OR
r2,2012,r2,core,OR
r3,2012,r3,core,OR
r4,2012,r4,core,OR
r5,2012,r5,core,OR
r6,2012,r6,core,OR
strfreq_,2015,strfreq_,core,OR
